NDV_values,CRC_values,date,type
0.19673161,72.174355,2019-03-21,588
0.2117061,72.72004,2019-03-21,588
0.27606636,46.870567,2019-03-26,525
0.28446773,38.653446,2019-03-26,525
0.27083334,37.601246,2019-03-26,525
0.29572445,43.711334,2019-03-26,525
0.3046045,0.0,2019-03-26,525
0.28994772,40.864315,2019-03-26,525
0.3158202,0.0,2019-03-26,525
0.34819278,0.0,2019-03-26,525
0.30769232,0.0,2019-03-26,525
0.2851942,41.891983,2019-03-26,525
0.2669369,38.74592,2019-03-26,526
0.32045865,0.0,2019-03-26,526
0.30882353,0.0,2019-03-26,526
0.3275649,0.0,2019-03-26,526
0.29912537,40.5902,2019-03-26,526
0.29988053,42.565422,2019-03-26,526
0.28454334,42.39859,2019-03-26,526
0.28128725,37.765175,2019-03-26,526
0.2883582,41.079243,2019-03-26,526
0.29206732,42.096382,2019-03-26,526
0.25959367,42.135715,2019-03-26,527
0.28163266,41.212666,2019-03-26,527
0.35688186,0.0,2019-03-26,527
0.3151207,0.0,2019-03-26,527
0.28503564,40.804173,2019-03-26,527
0.29097387,43.185585,2019-03-26,527
0.33208954,0.0,2019-03-26,527
0.31848285,0.0,2019-03-26,527
0.29550827,44.84702,2019-03-26,527
0.24538848,39.953728,2019-03-26,527
0.36702767,0.0,2019-03-26,528
0.3694997,0.0,2019-03-26,528
0.37108433,0.0,2019-03-26,528
0.34198114,0.0,2019-03-26,528
0.32082325,0.0,2019-03-26,528
0.4,0.0,2019-03-26,528
0.35189572,0.0,2019-03-26,528
0.29036003,43.159447,2019-03-26,528
0.3507729,0.0,2019-03-26,528
0.38280544,0.0,2019-03-26,528
0.16592592,5.117694,2019-03-26,529
0.17985612,4.108918,2019-03-26,529
0.17476432,6.8505635,2019-03-26,529
0.16157855,5.6913733,2019-03-26,529
0.1694153,4.7605166,2019-03-26,529
0.17145073,3.4620974,2019-03-26,529
0.1618497,4.910635,2019-03-26,529
0.15028901,4.960018,2019-03-26,529
0.1754256,5.2743797,2019-03-26,529
0.17490774,9.129895,2019-03-26,529
0.16703136,6.4888735,2019-03-26,585
0.17638376,5.165817,2019-03-26,585
0.1641791,6.1577005,2019-03-26,585
0.17014925,4.7657294,2019-03-26,585
0.1697506,2.9117374,2019-03-26,585
0.16795069,4.1754055,2019-03-26,585
0.18380062,5.9283094,2019-03-26,585
0.18112633,4.5987387,2019-03-26,585
0.1632653,3.5691652,2019-03-26,585
0.1809084,4.866869,2019-03-26,585
0.35037407,0.0,2019-03-26,586
0.41775456,0.0,2019-03-26,586
0.2908623,47.006207,2019-03-26,586
0.43818334,0.0,2019-03-26,586
0.34664372,0.0,2019-03-26,586
0.34789804,0.0,2019-03-26,586
0.31697342,0.0,2019-03-26,586
0.3458793,0.0,2019-03-26,586
0.33016628,0.0,2019-03-26,586
0.35491467,0.0,2019-03-26,586
0.20453258,82.08466,2019-03-26,587
0.24795982,85.06558,2019-03-26,587
0.2058309,80.056564,2019-03-26,587
0.1875,80.88916,2019-03-26,587
0.20801415,84.281624,2019-03-26,587
0.19863014,79.256325,2019-03-26,587
0.20339943,84.281624,2019-03-26,587
0.20696084,89.10542,2019-03-26,587
0.20091324,85.18408,2019-03-26,587
0.20838323,82.19629,2019-03-26,587
0.1997636,82.447,2019-03-26,588
0.22201835,77.98099,2019-03-26,588
0.20892018,86.83345,2019-03-26,588
0.19798234,66.985664,2019-03-26,588
0.1830635,68.88973,2019-03-26,588
0.19502544,81.85487,2019-03-26,588
0.19641715,70.532104,2019-03-26,588
0.20641026,69.92691,2019-03-26,588
0.19093852,66.63392,2019-03-26,588
0.22663409,80.76364,2019-03-26,588
0.28637412,37.647385,2019-03-31,525
0.2936369,32.04504,2019-03-31,525
0.29723632,32.501205,2019-03-31,525
0.33372027,0.0,2019-03-31,525
0.3395675,0.0,2019-03-31,525
0.30588907,0.0,2019-03-31,525
0.3275563,0.0,2019-03-31,525
0.37967914,0.0,2019-03-31,525
0.34026575,0.0,2019-03-31,525
0.31264916,0.0,2019-03-31,525
0.29276693,35.43855,2019-03-31,526
0.35589123,0.0,2019-03-31,526
0.35692495,0.0,2019-03-31,526
0.36308068,0.0,2019-03-31,526
0.32722062,0.0,2019-03-31,526
0.31054804,0.0,2019-03-31,526
0.31491077,0.0,2019-03-31,526
0.29971015,35.34105,2019-03-31,526
0.31791222,0.0,2019-03-31,526
0.29245284,34.01577,2019-03-31,526
0.30547714,0.0,2019-03-31,527
0.29297546,35.192474,2019-03-31,527
0.37268934,0.0,2019-03-31,527
0.34238124,0.0,2019-03-31,527
0.28545994,33.571674,2019-03-31,527
0.33294597,0.0,2019-03-31,527
0.3721643,0.0,2019-03-31,527
0.34168157,0.0,2019-03-31,527
0.29988465,39.621975,2019-03-31,527
0.27282977,31.306923,2019-03-31,527
0.3714967,0.0,2019-03-31,528
0.38149253,0.0,2019-03-31,528
0.4084507,0.0,2019-03-31,528
0.33647057,0.0,2019-03-31,528
0.35358444,0.0,2019-03-31,528
0.45163205,0.0,2019-03-31,528
0.3782013,0.0,2019-03-31,528
0.31735826,0.0,2019-03-31,528
0.37380952,0.0,2019-03-31,528
0.41275066,0.0,2019-03-31,528
0.1557789,0.0,2019-03-31,529
0.15714286,0.0,2019-03-31,529
0.1513437,0.0,2019-03-31,529
0.15108925,0.0,2019-03-31,529
0.16049382,0.0,2019-03-31,529
0.18272938,0.0,2019-03-31,529
0.16246499,0.0,2019-03-31,529
0.15185444,0.0,2019-03-31,529
0.16873631,0.0,2019-03-31,529
0.1641577,0.0,2019-03-31,529
0.1673699,0.0,2019-03-31,585
0.16824472,0.0,2019-03-31,585
0.16666667,0.0,2019-03-31,585
0.1637931,0.0,2019-03-31,585
0.17757009,0.0,2019-03-31,585
0.1588367,0.0,2019-03-31,585
0.16904584,0.0,2019-03-31,585
0.16540213,0.0,2019-03-31,585
0.15601783,0.0,2019-03-31,585
0.17391305,0.0,2019-03-31,585
0.3512852,0.0,2019-03-31,586
0.4416961,0.0,2019-03-31,586
0.32082552,0.0,2019-03-31,586
0.42842892,0.0,2019-03-31,586
0.3492696,0.0,2019-03-31,586
0.3637227,0.0,2019-03-31,586
0.33466268,0.0,2019-03-31,586
0.39549243,0.0,2019-03-31,586
0.38799608,0.0,2019-03-31,586
0.39411426,0.0,2019-03-31,586
0.19325842,54.383274,2019-03-31,587
0.30753282,0.0,2019-03-31,587
0.18316539,48.813133,2019-03-31,587
0.17639975,45.873486,2019-03-31,587
0.18214716,48.241558,2019-03-31,587
0.19200484,45.65585,2019-03-31,587
