NDV_values,CRC_values,date,type
0.13023522,0.0,2021-08-27,TT
0.12445887,0.0,2021-08-27,TT
0.12086721,0.0,2021-08-27,TT
0.12592593,0.0,2021-08-27,TT
0.12164477,0.0,2021-08-27,TT
0.12095033,0.0,2021-08-27,TT
0.12492934,0.0,2021-08-27,TT
0.12261581,0.0,2021-08-27,TT
0.120718695,0.0,2021-08-27,TT
0.112233445,0.0,2021-08-27,TT
0.16274944,53.481186,2021-08-27,PP2
0.16140507,58.95167,2021-08-27,PP2
0.15921289,57.549385,2021-08-27,PP2
0.15384616,44.49635,2021-08-27,PP2
0.15285452,47.5295,2021-08-27,PP2
0.1502452,50.829304,2021-08-27,PP2
0.1559964,51.007214,2021-08-27,PP2
0.16293643,62.694485,2021-08-27,PP2
0.15902005,57.653664,2021-08-27,PP2
0.14540589,54.866055,2021-08-27,PP2
0.17730497,65.105415,2021-09-21,PP
0.16287215,58.53803,2021-09-21,PP
0.16861826,70.607506,2021-09-21,PP
0.20606826,83.09722,2021-09-21,PP
0.15481651,64.15702,2021-09-21,PP
0.2182681,72.1788,2021-09-21,PP
0.2072177,68.70839,2021-09-21,PP
0.21673445,76.209274,2021-09-21,PP
0.2089172,80.55273,2021-09-21,PP
0.21711768,87.76313,2021-09-21,PP
0.110032365,2.721615,2021-09-21,TT
0.116745904,2.1683292,2021-09-21,TT
0.116551355,4.805547,2021-09-21,TT
0.104669884,2.7468886,2021-09-21,TT
0.11157674,4.3884826,2021-09-21,TT
0.11321748,1.8622192,2021-09-21,TT
0.11111111,6.6202173,2021-09-21,TT
0.11473627,3.5834823,2021-09-21,TT
0.12065218,4.433222,2021-09-21,TT
0.104493774,4.2516146,2021-09-21,TT
0.1300716,13.142686,2021-09-21,PP2
0.14469078,24.740292,2021-09-21,PP2
0.13919415,23.370092,2021-09-21,PP2
0.13121693,13.442502,2021-09-21,PP2
0.14067996,25.754725,2021-09-21,PP2
0.1277843,22.75437,2021-09-21,PP2
0.138404,19.245996,2021-09-21,PP2
0.15151516,24.21341,2021-09-21,PP2
0.12686123,22.02225,2021-09-21,PP2
0.13177471,15.282925,2021-09-21,PP2
