Год,GPS №,Тип обработки,Глубина,повторность,"рН солевой вытяжки, ед. рН","рН водной вытяжки, ед. рН","Фосфор (подвижная форма), мг/кг","Калий (подвижная форма), млн-1","Общий азот, %","Общий углерод, %","М.д. содержания  гипса (по Хитрову), %","Массовая доля иона хлорида, ммоль/100 г","Массовая доля иона сульфата, ммоль/100 г","Массовая доля магния (водорастворимая форма), ммоль/100 г почвы","Массовая доля кальция (водорастворимая форма), ммоль/100 г почвы","Массовая доля натрия (водорастворимая форма), мг•экв на 100 г почвы","Массовая доля калия (водорастворимая форма), мг•экв на 100 г почвы","Сумма поглощенных оснований по Каппену, ммоль/100 г","Массовая доля плотного остатка водной вытяжки, %","Карбонат и бикарбонат-ионы, ммоль/100 г","Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)","Массовая доля общего содержания карбонатов (по Козловскому), %(CaCO3)","Органический углерод, %"
2021,585,ТТ,20-30,[0],7.28,8.01,20.8,330.707496,0.17,1.5485,0.5038787878787879,0.1083815028901733,0.613636363636364,0.0995374999999999,0.4949624999999999,0.0005382919999999,0.0007592909999999,24.800000000000004,0.2045000000000029,0.0305,0.9239999999999998,2.101176,1.2965
2021,585,ТТ,30-40,[0],7.33,8.24,9.6,196.507248,0.14,1.6446,0.7705454545454544,0.0867052023121386,0.613636363636364,0.0920458333333333,0.5411125,0.0002112434999999,0.0002205644999999,24.55,0.2045000000000029,0.0305,1.892,4.302407999999999,1.1286
2021,585,ТТ,40-50,[0],7.41,8.25,9.4,158.973752,0.12,1.7463,0.903878787878788,0.1192196531791907,0.613636363636364,0.1130625,0.5810125,0.0002399934999999,0.0002758275,24.450000000000003,0.1687500000000064,0.022875,1.9799999999999995,4.502519999999999,1.2063000000000001
2021,585,ТТ,50-70,[0],7.47,8.41,8.799999999999999,143.69499199999998,0.13,1.5966,0.7661818181818181,0.2492774566473987,0.7045454545454546,0.1293166666666666,0.4465125,0.00025373025,0.00015220725,24.450000000000003,0.2424000000000319,0.02745,2.244,5.102855999999999,0.9845999999999999
2021,585,ТТ,70-90,[0],7.5,7.69,9.0,152.19764,0.12,1.632,1.303878787878788,0.065028901734104,0.6136363636363636,0.1637874999999999,0.4317874999999999,0.000302956,0.0001813695,24.65,0.2109999999999701,0.02745,2.244,5.102855999999999,1.0199999999999998
2021,585,ТТ,90-110,[0],7.45,8.03,6.2,133.769216,0.11,1.6653,1.170545454545455,0.130057803468208,0.6136363636363636,0.2014874999999999,0.3628625,0.0004474305,0.0002197259999999,24.450000000000003,0.166499999999985,0.02745,2.816,6.403584,0.8973
2021,585,ТТ,110-130,[0],7.68,8.29,6.800000000000001,124.137216,0.06,1.5149,1.5705454545454545,0.0867052023121387,0.613636363636364,0.2468083333333333,0.3159875,0.000490728,0.0002127255,24.65,0.1806666666666482,0.0305,2.684,6.103415999999999,0.7828999999999999
2021,585,ТТ,130-150,[0],7.97,8.6,6.800000000000001,115.959648,0.04,1.2139,2.103878787878788,0.065028901734104,0.613636363636364,0.2439833333333333,0.2267375,0.0004182549999999,0.0001782885,24.300000000000004,0.1363333333333353,0.0274,2.618,5.953332,0.4999
2021,585,ТТ,150-170,[0],8.01,8.75,8.0,112.819616,0.04,1.1534,1.5705454545454545,0.0433526011560693,0.613636363636364,0.2574125,0.19764,0.0006438735,0.0002107755,24.6,0.1363333333333353,0.0274,2.442,5.553107999999999,0.48739999999999994
2021,585,ТТ,170-190,[0],7.95,8.73,9.0,107.762816,0.05,1.0799,1.303878787878788,0.0867052023121386,0.613636363636364,0.2331083333333333,0.2123974999999999,0.000705134,0.0002589405,24.700000000000003,0.1125000000000042,0.03045,3.916,8.904983999999999,0.011900000000000244
