GPS №,Тип обработки,Год,Глубина,"рН солевой вытяжки, ед. рН","рН водной вытяжки, ед. рН","Фосфор (подвижная форма), мг/кг","Калий (подвижная форма), млн-1","Общий азот, %","Общий углерод, %","Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)","Органический углерод, %"
526,ПП,2020,10-20,7.21,8.15,12.233169129720853,277.06448,0.18,1.4633,0.9460000000000002,1.2053
526,ПП,2020,20-30,7.47,8.07,21.10016420361248,316.62792,0.17,1.3254,0.7920000000000004,1.1093999999999997
526,ПП,2020,0-10,7.29,8.13,20.607553366174052,300.85552,0.15,1.2489,1.045,0.9639
526,ПП,2020,10-20,7.4,8.18,11.247947454844006,242.58192000000003,0.16,1.3963,1.045,1.1113000000000002
526,ПП,2020,20-30,7.32,8.27,9.27750410509031,218.215368,0.16,1.265,1.1,0.9649999999999999
527,ПП,2020,0-10,7.4,8.16,17.65188834154351,444.46864000000016,0.3,3.3795,0.77,3.1695
527,ПП,2020,10-20,7.26,8.16,15.681444991789816,363.70432,0.16,1.3643,0.77,1.1543
527,ПП,2020,20-30,7.42,8.06,23.07060755336617,377.67072,0.17,1.4363,0.77,1.2263
527,ПП,2020,0-10,7.18,8.24,11.74055829228243,328.52344000000005,0.16,1.5005,1.804,1.0085
527,ПП,2020,10-20,7.21,8.18,11.74055829228243,289.9954400000001,0.16,1.4654,1.166,1.1474
527,ПП,2020,20-30,7.2,7.69,8.784893267651888,231.12224799999998,0.15,1.4218,1.166,1.1038
527,ПП,2020,0-10,7.28,8.33,10.26272577996716,353.30176,0.17,1.3382,0.7039999999999998,1.1462
527,ПП,2020,10-20,7.13,8.37,10.755336617405579,327.51207999999997,0.16,1.3689,0.77,1.1589
527,ПП,2020,20-30,7.13,8.36,9.770114942528737,281.06176,0.16,1.5385,0.8579999999999997,1.3045
527,ПП,2020,0-10,7.26,8.23,13.2183908045977,359.20136,0.18,1.6728,0.77,1.4628
527,ПП,2020,10-20,7.28,8.35,18.63711001642036,398.86112,0.19,1.7219,0.77,1.5119
527,ПП,2020,20-30,7.03,8.23,10.755336617405579,292.04224,0.17,1.5702,0.7920000000000004,1.3541999999999998
527,ПП,2020,0-10,7.11,8.22,6.814449917898193,273.21168,0.17,1.359,0.9239999999999998,1.107
