Год	GPS №	Тип обработки	Глубина	повторность	рН солевой вытяжки, ед. рН	рН водной вытяжки, ед. рН	Фосфор (подвижная форма), мг/кг	Калий (подвижная форма), млн-1	Общий азот, %	Общий углерод, %	М.д. содержания  гипса (по Хитрову), %	Массовая доля иона хлорида, ммоль/100 г	Массовая доля иона сульфата, ммоль/100 г	Массовая доля магния (водорастворимая форма), ммоль/100 г почвы	Массовая доля кальция (водорастворимая форма), ммоль/100 г почвы	Массовая доля натрия (водорастворимая форма), мг•экв на 100 г почвы	Массовая доля калия (водорастворимая форма), мг•экв на 100 г почвы	Сумма поглощенных оснований по Каппену, ммоль/100 г	Массовая доля плотного остатка водной вытяжки, %	Карбонат и бикарбонат-ионы, ммоль/100 г	Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)	Массовая доля общего содержания карбонатов (по Козловскому), %(CaCO3)	Органический углерод, %
2021	586	ПП	окт.20	[4]	7.25	8.24	12.2	543.767336	0.15	1.499	1.013333333	0.364	1.111111111	0.102716667	0.2335575	9.77E-05	0.000961535	24.85	0.3375	0.01525	1.584	3.602016	1.067
2021	586	ПП	20-30	[4]	7.2	8.31	16	577.744216	0.22	2.099	1.046666667	0.182	0.416666667	0.103358333	0.25327	4.43E-05	0.0010253		0.1212	0.01525	1.364	3.101736	1.727
2020	525	ПП	0-10	[0]	7.33	8.45	7.482159394	459.78352	0.34	1.4947	1.66498	0	0.333333333	0.2	0.8	0.037143478	0.07895	22.7	0.5671	0.65	1.1		1.1947
2020	525	ПП	окт.20	[0]	7.3	8.43	6.32183908	375.72024	0.26	1.3616	2.72192	0	0.833333333	0	0.8	0.03358913	0.048251282	24.2	0.108	0.7	1.584		0.9296
2020	525	ПП	20-30	[0]	7.31	8.45	4.351395731	371.96376	0.23	1.3721	4.22185	0	0.666666667	1.35	0.7	0.032447826	0.039702564	24.4	0.109	0.65	1.276		1.0241
2020	525	ПП	30-40	[0]	7.32	8.46	4.351395731	257.63192	0.17	1.7961	1.914476667	0	0.444444444	0.4	0.55	0.03705	0.021069231	24.7	0.088	0.6	1.804		1.3041
2020	525	ПП	40-50	[0]	7.33	8.5	6.32183908	225.728328	0.11	1.8826	7.081516667	0	1.027777778	0.2	0.65	0.045219565	0.015241026	24.71698113	0.1221	0.75	2.376		1.2346
2020	525	ПП	50-60	[0]	7.33	8.54	5.829228243	198.741872	0.11	1.8085	8.93763	0	5	0.85	0.75	0.045847826	0.016842308	24.52830189	0.352	0.8	2.6664		1.0813
2020	525	ПП	60-70	[0]	7.42	8.56	7.307060755	194.21724	0.09	1.7636	4.414993333	0	2.722222222	0.5	0.5	0.046778261	0.011626923	23.9	0.2109	0.65	2.684		1.0316
2020	525	ПП	70-80	[0]	7.41	8.58	7.799671593	198.253048	0.09	1.7728	6.153963333	0	3.055555556	0.5	0.475	0.057543478	0.019461538	23.9	0.2268	0.8	2.156		1.1848
2020	525	ПП	80-90	[0]	7.41	8.64	7.799671593	192.139136	0.05	1.8116	2.058463333	0	1.897222222	0.95	0.4	0.071526087	0.013598718	22.16981132	0.1712	0.7	3.432		0.8756
2020	525	ПП	90-100	[0]	7.57	8.87	9.277504105	190.800288	0.04	1.8834	5.61114	0	0.75	0.55	0.4	0.093819565	0.01634359	24.62264151	0.108	0.75	5.456		0.3954
2020	525	ПП	100-110	[0]	7.5	8.85	9.770114943	189.596288	0.05	1.7252	2.66346	0.049	3.25	0.5	0.45	0.189228261	0.024701282	24.33962264	0.2461	0.85	3.102		0.8792
2020	525	ПП	110-120	[0]	7.85	8.94	10.75533662	187.002872	0.04	1.6552	4.333233333	0.147	3.055555556	0.6	0.4	0.178671739	0.09619359	24.52830189	0.2507	0.9	2.706		0.9172
2020	525	ПП	120-130	[0]	7.77	8.87	12.23316913	198.669632	0.04	1.549	3.56344	0.049	3.166666667	0.45	0.45	0.16106087	0.017075641	24.43396226	0.2461	0.95	2.596		0.841
2020	525	ПП	130-140	[0]	7.71	8.95	13.71100164	184.026584	0.03	1.3929	2.801646667	0.098	3.111111111	0.7	0.4	0.125173913	0.030964103	24.43396226	0.2354	0.75	3.058		0.5589
2020	525	ПП	140-150	[0]	7.82	8.93	16.66666667	203.581952	0.03	1.3506	3.745613333	0.049	3.138888889	1.15	0.4	0.166786957	0.017364103	24.52830189	0.2576	0.835	2.31		0.7206
2020	525	ПП	150-160	[0]	7.89	8.95	15.18883415	175.947744	0.02	1.3192	2.578483333	0.147	3.222222222	0.35	0.5	0.212402174	0.024608974	24.33962264	0.2576	0.855	2.728		0.5752
2020	525	ПП	160-170	[0]	7.96	9.18	4.844006568	123.453344	0.03	1.4051	3.203686667	0.049	8.777777778	0.7	0.45	0.268086957	0.014198718	24.4	0.55	0.86	2.376		0.7571
2020	525	ПП	170-180	[0]	7.91	8.98	5.336617406	109.81684	0.02	1.3615	5.295083333	0.098	3.138888889	0.6	0.5	0.42473913	0.029216667	24.71698113	0.264	0.9	2.31		0.7315
2020	525	ПП	180-190	[0]	7.84	9.22	4.351395731	103.967808	0.02	1.3379	3.97466	0.098	3.333333333	0.5	0.6	0.654021739	0.028375641	24.62264151	0.2912	0.97	2.42		0.6779
2020	525	ПП	190-200	[0]	7.81	9.15	4.844006568	111.473544	0.02	1.4098	4.41854	0.049	3.333333333	0.25	1.1	1.449934783	0.086316667	24.62264151	0.3597	1.685	2.442		0.7438
2020	525	ПП	0-10	[1]	7.04	8.22	10.75533662	301.45752	0.21	1.4461	4.522293333	0	3.055555556	0.2	0.85	0.339521739	0.05280641	24.81132075	0.2464	0.72	1.822857143		0.948957143
2020	525	ПП	окт.20	[1]	7.36	8.14	7.799671593	263.60376	0.2	1.3342	3.348056667	0	2.944444444	0.15	0.6	0.066306522	0.038648718	24.81132075	0.224	0.71	0.902		1.0882
2020	525	ПП	20-30	[1]	7.29	7.98	7.799671593	256.37976	0.2	1.3362	4.008433333	0	2.972222222	0.55	0.7	0.065595652	0.032791026	24.71698113	0.231	0.77	0.902		1.0902
2020	525	ПП	0-10	[2]	7.25	8.15	10.26272578	398.6444	0.19	1.5608	3.6001	0.049	2.916666667	0.3	0.6	0.059708696	0.081674359	24.81132075	0.2268	0.845	0.88		1.3208
2020	525	ПП	окт.20	[2]	7.3	8.04	6.814449918	283.83096	0.2	1.31	2.362666667	0	2.861111111	0.6	0.6	0.093395652	0.037887179	24.6	0.2268	0.76	1.056		1.022
2020	525	ПП	20-30	[2]	7.23	8.16	8.29228243	252.45472	0.19	1.5261	2.56	0.098	2.916666667	0.4	0.75	0.060869565	0.030179487	24.71698113	0.2442	0.82	1.21		1.1961
2020	525	ПП	0-10	[3]	7.34	8.04	12.72577997	336.01232	0.18	1.3986	3.362666667	0.147	2.861111111	0.3	0.5	0.06673913	0.058151282	24.81132075	0.222	0.725	0.77		1.1886
2020	525	ПП	окт.20	[3]	7.36	8.14	7.307060755	285.56472	0.17	1.3004	3.707487179	0.049	2.888888889	0.15	0.6	0.084154348	0.033574359	24.90566038	0.214	0.7	1.1		1.0004
2020	525	ПП	20-30	[3]	7.3	8.14	9.277504105	272.99496	0.17	1.2437	2.361333333	0.049	2.888888889	0.35	0.5	0.067126087	0.032791026	24.90566038	0.214	0.67	0.924		0.9917
2020	525	ПП	0-10	[4]	7.28	8.22	7.307060755	254.2848	0.17	1.2304	3.062666667	0.098	2.861111111	0.5	0.6	0.066969565	0.030860256	24.90566038	0.2331	0.715	0.902		0.9844
2020	525	ПП	окт.20	[4]	7.36	8.17	8.29228243	240.53512	0.16	1.4815	2.213333333	0.098	1.805555556	0	0.75	0.067306522	0.050202564	24.43396226	0.1712	0.825	0.99		1.2115
2020	525	ПП	20-30	[4]	7.16	8.18	10.26272578	229.764136	0.16	1.5407	2.821333333	0.147	1.638888889	0	0.7	0.050982609	0.032860256	24.62264151	0.1712	0.915	0.33		1.4507
2020	526	ПП	0-10	[0]	7.39	8.44	18.14449918	439.67672	0.18	1.4412	2.505333333	0.147	1.972222222	0.3	0.8	0.078708696	0.144782051	24.10546139	0.1962	0.835	0.77		1.2312
2020	526	ПП	окт.20	[0]	7.33	8.03	13.2183908	350.6048	0.17	1.3804	2.514666667	0.049	1.777777778	0.1	0.6	0.041426087	0.070912821	24.62335217	0.1744	0.88	0.814		1.1584
2020	526	ПП	20-30	[0]	7.32	8.23	10.75533662	285.4684	0.16	1.3295	2.818666667	0.049	1.694444444	0	0.6	0.051628261	0.052379487	24.62335217	0.165	0.9	0.77		1.1195
2020	526	ПП	30-40	[0]	7.41	8.29	6.32183908	221.357808	0.13	1.7412	1.113333333	0.147	1.805555556	0.4	0.65	0.056045652	0.075738462	24.57627119	0.1819	0.97	1.012		1.4652
2020	526	ПП	40-50	[0]	7.32	8.21	5.336617406	177.209536	0.11	1.7896	2.894666667	0.098	2.194444444	0.05	0.65	0.043578261	0.021935897	24.67043315	0.1944	0.965	1.342		1.4236
2020	526	ПП	50-60	[0]	7.5	8.19	10.75533662	157.62768	0.1	1.826	2.624	0.196	1.583333333	2.7	0.75	0.067321739	0.168820513	24.52919021	0.216	0.93	1.958		1.292
2020	526	ПП	60-70	[0]	7.35	8.34	6.32183908	153.180104	0.1	1.8287	2.028	0.147	1.5	0.3	0.7	0.061734783	0.020357692	24.43502825	0.162	0.925	2.09		1.2587
2020	526	ПП	70-80	[0]	7.54	8.44	5.336617406	143.796128	0.08	1.8512	2.517333333	0.196	1.722222222	0.55	0.6	0.07248913	0.046832051	24.29378531	0.1836	0.975	2.53		1.1612
2020	526	ПП	80-90	[0]	7.47	8.51	3.858784893	146.12948	0.06	1.8523	10.02133333	0.147	1.638888889	0.25	0.5	0.077815217	0.023747436	24.34086629	0.168	0.85	2.464		1.1803
2020	526	ПП	90-100	[0]	7.62	8.47	4.351395731	140.10948	0.05	1.8676	2.824	0.098	1.583333333	0.35	0.55	0.087623913	0.025573077	24.38794727	0.1728	0.99	2.596		1.1596
2020	526	ПП	100-110	[0]	7.44	8.4	3.02134647	136.938144	0.03	1.6471	3.143952663	0.147	6	0.4	0.45	0.097684783	0.033460256	24.15254237	0.3888	0.87	2.794		0.8851
2020	526	ПП	110-120	[0]	7.68	8.54	2.873563218	142.568048	0.05	2.0838	2.626666667	0.098	1.527777778	0.25	0.45	0.087293478	0.018738462	24.34086629	0.1665	0.915	2.794		1.3218
