date,mean_temperature,sum_percepetation,snow
22.04.2021,12.45,0.0,0.0
22.05.2021,25.349999999999998,0.0,0.0
22.06.2021,28.0125,0.0,0.0
22.07.2021,27.125,28.0,0.0
22.08.2021,27.762500000000003,0.0,0.0
22.09.2021,15.087499999999999,0.8,0.0
22.10.2020,10.875000000000002,0.0,0.0
22.11.2020,2.0124999999999997,0.0,0.0
22.12.2020,-2.8874999999999997,0.5,0.0125
23.01.2021,-1.7625,0.0,0.5
23.02.2021,-6.3125,6.0,0.125
23.03.2021,5.675,0.2,0.0
23.04.2021,13.95,2.0,0.0
23.05.2021,23.549999999999997,8.0,0.0
23.06.2021,27.3875,0.0,0.0
23.07.2021,23.125,28.3,0.0
23.08.2021,25.2625,0.0,0.0
23.09.2021,13.274999999999999,9.0,0.0
23.10.2020,13.237499999999999,0.0,0.0
23.11.2020,0.7250000000000001,2.0,0.25
23.12.2020,-1.5624999999999998,4.4,0.5
24.01.2021,-1.5125,0.0,0.25
24.02.2021,-16.6875,0.0,0.625
24.03.2021,5.0,6.0,0.0
24.04.2021,14.3125,0.0,0.0
24.05.2021,22.924999999999997,11.0,0.0
24.06.2021,27.637499999999996,0.0,0.0
24.07.2021,24.799999999999997,0.7,0.0
24.08.2021,24.250000000000004,2.0,0.0
24.09.2021,12.725000000000001,12.0,0.0
24.10.2020,12.4,0.0,0.0
24.11.2020,2.2000000000000006,0.0,0.0
24.12.2020,-6.724999999999999,3.3,0.625
25.01.2021,-0.17500000000000002,0.0,0.25
25.02.2021,-12.825000000000001,0.0,0.5
25.03.2021,4.05,0.0,0.0
25.04.2021,10.787500000000001,0.3,0.0
25.05.2021,17.1,9.0,0.0
25.06.2021,28.85,0.0,0.0
25.07.2021,27.225,0.0,0.0
25.08.2021,25.0625,0.0,0.0
25.09.2021,12.3375,0.3,0.0
25.10.2020,14.4375,0.0,0.0
25.11.2020,4.1,0.1,0.0
25.12.2020,-8.2625,0.1,0.75
26.01.2021,-0.6625,0.1,0.0125
26.02.2021,0.5500000000000003,0.0,0.5
26.03.2021,4.6125,0.0,0.0
26.04.2021,9.787500000000001,13.0,0.0
26.05.2021,17.1625,0.5,0.0
26.06.2021,29.9625,0.0,0.0
26.07.2021,26.825,0.0,0.0
26.08.2021,26.275,0.0,0.0
26.09.2021,13.425,0.5,0.0
26.10.2020,13.4375,0.0,0.0
26.11.2020,2.3375,1.4,0.0
26.12.2020,-3.1500000000000004,0.2,0.625
27.01.2021,1.375,0.3,0.0
27.02.2021,5.8875,0.0,0.0125
27.03.2021,6.3500000000000005,0.0,0.0
27.04.2021,12.012499999999998,8.0,0.0
27.05.2021,20.15,1.0,0.0
27.06.2021,29.762499999999996,0.0,0.0
27.07.2021,22.1875,1.0,0.0
27.08.2021,27.7875,0.0,0.0
27.09.2021,14.187500000000002,1.1,0.0
27.10.2020,11.4875,0.0,0.0
27.11.2020,0.18750000000000003,0.0,0.0
27.12.2020,-3.0250000000000004,0.0,0.625
28.01.2021,3.4749999999999996,0.2,0.0
28.02.2021,2.9625,7.0,0.0
28.03.2021,6.675000000000001,0.1,0.0
28.04.2021,13.6625,0.0,0.0
28.05.2021,23.15,0.0,0.0
28.06.2021,27.712500000000006,0.0,0.0
28.07.2021,21.737499999999997,2.0,0.0
28.08.2021,29.400000000000002,0.0,0.0
28.09.2021,9.4625,0.3,0.0
28.10.2020,12.3625,0.0,0.0
28.11.2020,-0.4875,0.0,0.0
28.12.2020,-0.03749999999999999,0.0,0.375
29.01.2021,3.775,0.9,0.0
29.03.2021,5.762499999999999,0.6,0.0
29.04.2021,16.0875,0.0,0.0
29.05.2021,24.474999999999998,0.0,0.0
29.06.2021,22.9875,8.0,0.0
29.07.2021,24.3625,0.0,0.0
29.08.2021,28.7375,0.0,0.0
29.09.2021,10.075000000000001,0.0,0.0
29.10.2020,15.2625,0.0,0.0
29.11.2020,3.225,0.4,0.0
29.12.2020,-0.43749999999999994,0.0,0.25
30.01.2021,4.225,0.0,0.0
30.03.2021,6.65,0.0,0.0
30.04.2021,15.2125,0.0,0.0
30.05.2021,19.112499999999997,19.0,0.0
30.06.2021,24.637499999999996,0.5,0.0
30.07.2021,25.612500000000004,0.0,0.0
30.08.2021,26.837500000000002,0.0,0.0
30.09.2021,9.8,0.5,0.0
30.10.2020,15.525,0.0,0.0
30.11.2020,4.0875,0.4,0.0
30.12.2020,-0.7000000000000001,0.3,0.25
31.01.2021,2.375,0.0,0.0
31.03.2021,6.65,0.0,0.0
31.05.2021,21.05,0.0,0.0
31.07.2021,27.612499999999997,0.0,0.0
31.08.2021,26.224999999999998,0.0,0.0
31.10.2020,14.35,0.3,0.0
31.12.2020,0.9249999999999999,0.2,0.25
